lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.00419,0.00419,0.00509,0.00509
0.10000,0.00419,0.00423,0.00509,0.00498
0.20000,0.00419,0.00309,0.00509,0.00456
0.30000,0.00419,0.00280,0.00509,0.00425
0.40000,0.00419,0.00311,0.00509,0.00384
0.50000,0.00419,0.00309,0.00509,0.00363
0.60000,0.00419,0.00333,0.00509,0.00340
0.70000,0.00419,0.00275,0.00509,0.00280
0.80000,0.00419,0.00328,0.00509,0.00373
0.90000,0.00419,0.00274,0.00509,0.00374
1.00000,0.00419,0.00310,0.00509,0.00361
