lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.01125,0.01122,0.01000,0.00996,0.01415,0.01412
0.10000,0.01125,0.01064,0.01000,0.00959,0.01415,0.01371
0.20000,0.01125,0.00956,0.01000,0.00873,0.01415,0.01290
0.30000,0.01125,0.00882,0.01000,0.00812,0.01415,0.01237
0.40000,0.01125,0.00805,0.01000,0.00732,0.01415,0.01162
0.50000,0.01125,0.00749,0.01000,0.00671,0.01415,0.01106
0.60000,0.01125,0.00689,0.01000,0.00610,0.01415,0.01041
0.70000,0.01125,0.00627,0.01000,0.00550,0.01415,0.00970
0.80000,0.01125,0.00548,0.01000,0.00484,0.01415,0.00893
0.90000,0.01125,0.00493,0.01000,0.00440,0.01415,0.00835
1.00000,0.01125,0.00442,0.01000,0.00384,0.01415,0.00770
