lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.01125,0.01122,0.01000,0.00996,0.01415,0.01412
0.10000,0.01125,0.01164,0.01000,0.01038,0.01415,0.01453
0.20000,0.01125,0.01198,0.01000,0.01080,0.01415,0.01495
0.30000,0.01125,0.01211,0.01000,0.01088,0.01415,0.01510
0.40000,0.01125,0.01244,0.01000,0.01125,0.01415,0.01548
0.50000,0.01125,0.01244,0.01000,0.01132,0.01415,0.01554
0.60000,0.01125,0.01255,0.01000,0.01130,0.01415,0.01556
0.70000,0.01125,0.01265,0.01000,0.01139,0.01415,0.01567
0.80000,0.01125,0.01271,0.01000,0.01144,0.01415,0.01573
0.90000,0.01125,0.01203,0.01000,0.01100,0.01415,0.01520
1.00000,0.01125,0.01064,0.01000,0.00980,0.01415,0.01407
