lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.00121,0.00121,0.00192,0.00192,0.00192,0.00192
0.10000,0.00121,0.00085,0.00192,0.00175,0.00192,0.00175
0.20000,0.00121,0.00115,0.00192,0.00190,0.00192,0.00190
0.30000,0.00121,0.00088,0.00192,0.00186,0.00192,0.00186
0.40000,0.00121,0.00098,0.00192,0.00187,0.00192,0.00187
0.50000,0.00121,0.00108,0.00192,0.00194,0.00192,0.00194
0.60000,0.00121,0.00118,0.00192,0.00200,0.00192,0.00200
0.70000,0.00121,0.00156,0.00192,0.00207,0.00192,0.00207
0.80000,0.00121,0.00156,0.00192,0.00208,0.00192,0.00208
0.90000,0.00121,0.00164,0.00192,0.00213,0.00192,0.00213
1.00000,0.00121,0.00159,0.00192,0.00209,0.00192,0.00209
