lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.00419,0.00419,0.00509,0.00509
0.10000,0.00419,0.00485,0.00509,0.00509
0.20000,0.00419,0.00428,0.00509,0.00509
0.30000,0.00419,0.00541,0.00509,0.00509
0.40000,0.00419,0.00541,0.00509,0.00509
0.50000,0.00419,0.00513,0.00509,0.00509
0.60000,0.00419,0.00541,0.00509,0.00509
0.70000,0.00419,0.00513,0.00509,0.00509
0.80000,0.00419,0.00513,0.00509,0.00509
0.90000,0.00419,0.00513,0.00509,0.00509
1.00000,0.00419,0.00513,0.00509,0.00509
