lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02508,0.02503,0.02455,0.02455
0.10000,0.02508,0.02481,0.02455,0.02455
0.20000,0.02508,0.02422,0.02455,0.02455
0.30000,0.02508,0.02408,0.02455,0.02455
0.40000,0.02508,0.02387,0.02455,0.02455
0.50000,0.02508,0.02380,0.02455,0.02455
0.60000,0.02508,0.02366,0.02455,0.02455
0.70000,0.02508,0.02345,0.02455,0.02455
0.80000,0.02508,0.02331,0.02455,0.02455
0.90000,0.02508,0.02322,0.02455,0.02455
1.00000,0.02508,0.02327,0.02455,0.02455
