lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.00121,0.00121,0.00192,0.00192,0.00192,0.00192
0.10000,0.00121,0.00176,0.00192,0.00247,0.00192,0.00247
0.20000,0.00121,0.00276,0.00192,0.00337,0.00192,0.00337
0.30000,0.00121,0.00310,0.00192,0.00369,0.00192,0.00369
0.40000,0.00121,0.00342,0.00192,0.00391,0.00192,0.00391
0.50000,0.00121,0.00460,0.00192,0.00477,0.00192,0.00477
0.60000,0.00121,0.00475,0.00192,0.00493,0.00192,0.00493
0.70000,0.00121,0.00501,0.00192,0.00519,0.00192,0.00519
0.80000,0.00121,0.00502,0.00192,0.00526,0.00192,0.00526
0.90000,0.00121,0.00511,0.00192,0.00532,0.00192,0.00532
1.00000,0.00121,0.00516,0.00192,0.00536,0.00192,0.00536
