lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02508,0.02503,0.02455,0.02455
0.10000,0.02508,0.02430,0.02455,0.02455
0.20000,0.02508,0.02311,0.02455,0.02455
0.30000,0.02508,0.02263,0.02455,0.02455
0.40000,0.02508,0.02228,0.02455,0.02455
0.50000,0.02508,0.02207,0.02455,0.02455
0.60000,0.02508,0.02205,0.02455,0.02455
0.70000,0.02508,0.02219,0.02455,0.02455
0.80000,0.02508,0.02182,0.02455,0.02455
0.90000,0.02508,0.02182,0.02455,0.02455
1.00000,0.02508,0.02184,0.02455,0.02455
