lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02508,0.02503,0.02455,0.02455
0.10000,0.02508,0.02586,0.02455,0.02455
0.20000,0.02508,0.02633,0.02455,0.02455
0.30000,0.02508,0.02644,0.02455,0.02455
0.40000,0.02508,0.02611,0.02455,0.02455
0.50000,0.02508,0.02598,0.02455,0.02455
0.60000,0.02508,0.02584,0.02455,0.02455
0.70000,0.02508,0.02577,0.02455,0.02455
0.80000,0.02508,0.02552,0.02455,0.02455
0.90000,0.02508,0.02555,0.02455,0.02455
1.00000,0.02508,0.02529,0.02455,0.02455
