lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.00419,0.00419,0.00509,0.00509
0.10000,0.00419,0.00388,0.00509,0.00566
0.20000,0.00419,0.00330,0.00509,0.00575
0.30000,0.00419,0.00388,0.00509,0.00563
0.40000,0.00419,0.00505,0.00509,0.00530
0.50000,0.00419,0.00540,0.00509,0.00541
0.60000,0.00419,0.00628,0.00509,0.00541
0.70000,0.00419,0.00541,0.00509,0.00553
0.80000,0.00419,0.00542,0.00509,0.00551
0.90000,0.00419,0.00600,0.00509,0.00540
1.00000,0.00419,0.00542,0.00509,0.00530
