lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.01125,0.01122,0.01000,0.00996,0.01082,0.01079
0.10000,0.01125,0.01085,0.01000,0.00986,0.01082,0.01066
0.20000,0.01125,0.01036,0.01000,0.00952,0.01082,0.01038
0.30000,0.01125,0.00968,0.01000,0.00903,0.01082,0.00997
0.40000,0.01125,0.00907,0.01000,0.00861,0.01082,0.00954
0.50000,0.01125,0.00861,0.01000,0.00836,0.01082,0.00930
0.60000,0.01125,0.00844,0.01000,0.00821,0.01082,0.00922
0.70000,0.01125,0.00821,0.01000,0.00807,0.01082,0.00912
0.80000,0.01125,0.00800,0.01000,0.00798,0.01082,0.00902
0.90000,0.01125,0.00782,0.01000,0.00786,0.01082,0.00894
1.00000,0.01125,0.00782,0.01000,0.00783,0.01082,0.00892
