lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.01160,0.01160,0.01036,0.01036,0.01122,0.01122
0.10000,0.01160,0.01072,0.01036,0.00966,0.01122,0.01059
0.20000,0.01160,0.00957,0.01036,0.00891,0.01122,0.00990
0.30000,0.01160,0.00881,0.01036,0.00821,0.01122,0.00932
0.40000,0.01160,0.00806,0.01036,0.00762,0.01122,0.00880
0.50000,0.01160,0.00751,0.01036,0.00724,0.01122,0.00849
0.60000,0.01160,0.00748,0.01036,0.00711,0.01122,0.00844
0.70000,0.01160,0.00730,0.01036,0.00694,0.01122,0.00832
0.80000,0.01160,0.00722,0.01036,0.00694,0.01122,0.00834
0.90000,0.01160,0.00709,0.01036,0.00677,0.01122,0.00821
1.00000,0.01160,0.00674,0.01036,0.00646,0.01122,0.00792
