lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.01160,0.01160,0.01036,0.01036,0.01122,0.01122
0.10000,0.01160,0.01211,0.01036,0.01076,0.01122,0.01164
0.20000,0.01160,0.01229,0.01036,0.01102,0.01122,0.01180
0.30000,0.01160,0.01246,0.01036,0.01114,0.01122,0.01185
0.40000,0.01160,0.01230,0.01036,0.01103,0.01122,0.01170
0.50000,0.01160,0.01222,0.01036,0.01110,0.01122,0.01179
0.60000,0.01160,0.01198,0.01036,0.01086,0.01122,0.01158
0.70000,0.01160,0.01202,0.01036,0.01094,0.01122,0.01165
0.80000,0.01160,0.01187,0.01036,0.01084,0.01122,0.01160
0.90000,0.01160,0.01174,0.01036,0.01065,0.01122,0.01143
1.00000,0.01160,0.01178,0.01036,0.01070,0.01122,0.01151
