lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02684,0.02682,0.02420,0.02420
0.10000,0.02684,0.02742,0.02420,0.02439
0.20000,0.02684,0.02742,0.02420,0.02489
0.30000,0.02684,0.02701,0.02420,0.02507
0.40000,0.02684,0.02705,0.02420,0.02540
0.50000,0.02684,0.02682,0.02420,0.02534
0.60000,0.02684,0.02749,0.02420,0.02511
0.70000,0.02684,0.02700,0.02420,0.02516
0.80000,0.02684,0.02633,0.02420,0.02515
0.90000,0.02684,0.02640,0.02420,0.02494
1.00000,0.02684,0.02609,0.02420,0.02475
