lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.00121,0.00121,0.00192,0.00192,0.00221,0.00221
0.10000,0.00121,0.00125,0.00192,0.00175,0.00221,0.00197
0.20000,0.00121,0.00111,0.00192,0.00133,0.00221,0.00167
0.30000,0.00121,0.00110,0.00192,0.00116,0.00221,0.00151
0.40000,0.00121,0.00138,0.00192,0.00098,0.00221,0.00145
0.50000,0.00121,0.00120,0.00192,0.00087,0.00221,0.00137
0.60000,0.00121,0.00101,0.00192,0.00076,0.00221,0.00131
0.70000,0.00121,0.00094,0.00192,0.00073,0.00221,0.00125
0.80000,0.00121,0.00088,0.00192,0.00066,0.00221,0.00121
0.90000,0.00121,0.00081,0.00192,0.00064,0.00221,0.00120
1.00000,0.00121,0.00085,0.00192,0.00063,0.00221,0.00119
