lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.00419,0.00419,0.00509,0.00509
0.10000,0.00419,0.00447,0.00509,0.00600
0.20000,0.00419,0.00467,0.00509,0.00689
0.30000,0.00419,0.00581,0.00509,0.00688
0.40000,0.00419,0.00729,0.00509,0.00733
0.50000,0.00419,0.00786,0.00509,0.00677
0.60000,0.00419,0.00901,0.00509,0.00665
0.70000,0.00419,0.00929,0.00509,0.00686
0.80000,0.00419,0.00959,0.00509,0.00686
0.90000,0.00419,0.00958,0.00509,0.00686
1.00000,0.00419,0.00987,0.00509,0.00686
